,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
104,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00013649682,11870.0
104,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00014898068,12381.0
104,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00017131647,12904.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00015536539,5981.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00018112506,6234.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00021884182,6501.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00021858125,6533.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00027274582,6810.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00036022679,7103.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00015536539,5981.0
119,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 9.3.0, CUDA 12.2",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.65, DALI 1.28.0",0.00018112506,6234.0
