,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
16,PCIe 4.0 x16,PCIe 4.0 x16,48 GB,GDDR6,NVIDIA L40S,4,"TensorRT 10.2.0, CUDA 12.4",512 GB,64,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2,SSD,Rocky Linux 9.1,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00026374946,13853.0
17,PCIe 4.0 x16,PCIe 4.0 x16,80 GB,HBM2e,NVIDIA H100-PCIe-80GB,2,"TensorRT 10.2.0, CUDA 12.4",2 TB,120,INTEL(R) XEON(R) PLATINUM 8580,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.02918724118,8415.0
17,PCIe 4.0 x16,PCIe 4.0 x16,80 GB,HBM2e,NVIDIA H100-PCIe-80GB,2,"TensorRT 10.2.0, CUDA 12.4",2 TB,120,INTEL(R) XEON(R) PLATINUM 8580,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.02798532773,8775.0
17,PCIe 4.0 x16,PCIe 4.0 x16,80 GB,HBM2e,NVIDIA H100-PCIe-80GB,2,"TensorRT 10.2.0, CUDA 12.4",2 TB,120,INTEL(R) XEON(R) PLATINUM 8580,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.02969402954,9145.0
18,PCIe Gen5 x16,"6x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 9.3.0, CUDA 12.2",1 TB,96,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00031605277,26375.0
18,PCIe Gen5 x16,"6x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 9.3.0, CUDA 12.2",1 TB,96,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00046068481,27503.0
18,PCIe Gen5 x16,"6x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 9.3.0, CUDA 12.2",1 TB,96,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00090301418,28667.0
19,PCIe Gen5 x16,"6x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 9.3.0, CUDA 12.2",1 TB,96,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.0002868,26081.0
19,PCIe Gen5 x16,"6x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 9.3.0, CUDA 12.2",1 TB,96,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00040531851,27195.0
19,PCIe Gen5 x16,"6x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 9.3.0, CUDA 12.2",1 TB,96,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00065450743,28348.0
20,PCIe Gen5 x16,NVLINK,80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,48,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.00025476011,51534.0
20,PCIe Gen5 x16,NVLINK,80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,48,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.00035510739,53744.0
