,accelerator_memory_capacity,accelerator_model_name,host_memory_capacity,host_processor_core_count,host_processor_model_name,operating_system,sm_count,micro_architecture,core,core_clock,cuda_cores,base_clock,max_boost_clock,bus_type,bus_width,bus_size,bus_clock,bus_bandwidth,half_precision,single_precision,double_precision,cuda_compute_capability,tdp,form_factor,samples_ps
36,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
37,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
38,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
40,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
41,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
42,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
43,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
44,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
45,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
46,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
